specie,instellation,planet_mass,T_inf,Lim_flux_disso[kg/s],Lim_flux_H[kg/s],Jeans_flux_H[kg/s],Jeans_flux_disso[kg/s],Lim_flux_disso[cgs],Lim_flux_H[cgs]
N2,1_F_earth,10_M_earth,3000,976183.6946767184,7029.821023880468,4453.348000948195,5761.556413311714,124270711596.3465,894914416.0022998
N2,1_F_earth,10_M_earth,4000,1731919.802306339,12472.126203624028,5617.051774864116,5814.51551306759,178286033452.44028,1283896579.1610384
N2,1_F_earth,10_M_earth,5000,3045835.3076584325,21934.06548154401,6075.622291346862,6329.514817992242,258768590910.8493,1863478042.733999
N2,1_F_earth,10_M_earth,6000,5308438.374254376,38227.81705001293,6271.059775023636,8410.969103114277,378526183276.5961,2725891997.374816
N2,1_F_earth,10_M_earth,7000,10028489.770026216,72218.46524126531,6422.437286811175,12321.399697606246,581033620472.9607,4184214900.3880734
N2,1000_F_earth,1_M_earth,200,31.305572196169752,11.76469479955379,4.417100638492263e-12,2.112974625602182e-13,2643286657.2554293,993352256.7636588
N2,1000_F_earth,1_M_earth,300,30.858466994035787,11.596671796701845,1.6946874920741602e-09,5.67670838960096e-10,2589511771.800005,973143550.4253848
N2,1000_F_earth,1_M_earth,500,30.590832225180336,11.49609413105168,5.018637550501915e-07,4.975590705837094e-07,2535720302.068306,952928611.6838946
N2,1000_F_earth,1_M_earth,1000,31.014139478998203,11.655173818731493,5.893574548563108e-05,8.457739700662012e-05,2493891864.715018,937209403.7320304
N2,1000_F_earth,1_M_earth,2000,36.32128403095798,13.64960904322359,0.0006204128038885,0.0008426615774021,2721950487.663166,1022914276.9277276
N2,1000_F_earth,1_M_earth,3000,39.455905723473336,14.827605959983856,0.0012550636320015,0.0015236675137397,2776883896.39736,1043558358.5630094
N2,1000_F_earth,1_M_earth,4000,43.05077951897249,16.17856651045531,0.0017153555962602,0.0021077512675139,2850911691.975607,1071378147.8390032
N2,1000_F_earth,1_M_earth,5000,47.08153229102063,17.693331226412283,0.001987025188987,0.0187721998981918,2938946406.8054514,1104461764.559019
N2,1000_F_earth,1_M_earth,6000,51.56165077385232,19.376968448759676,0.0021836570770245,0.2876313123811131,3039083749.069527,1142093572.1616108
