SEQ='C '     NUCCHG= 6                                                  /LS/

   PARENT TERM INDEXING                 BWNP=   8197449.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)    41056.5 

   LS RESOLVED TERM INDEXING            BWNR=   8280378.5   NTRM= 354
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   344     2    2S1 2P2 8I1         (3)7(22.0)   122269.0*
   345     2    2S1 2P2 8F1         (3)4(13.0)   122269.2*
   346     2    2S1 2P2 8J1         (5)6(32.0)   122269.8*
   347     2    2S1 2P2 8J1         (3)6(19.0)   122269.8*
   348     2    2S1 2P2 8J1         (5)7(37.0)   122269.8*
   349     2    2S1 2P2 8J1         (3)7(22.0)   122269.8*
   350     2    2S1 2P2 8J1         (5)8(42.0)   122269.8*
   351     2    2S1 2P2 8J1         (3)8(25.0)   122269.8*
   352     2    2S1 2P2 8F1         (5)3(17.0)   122276.4*
   353     2    2S1 2P2 8F1         (3)3(10.0)   122276.8*
   354     2    2S1 2P2 8D1         (3)2( 7.0)   122289.9*

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (2P)  SPNPRT= 2

